date,recom_type,source,recom_action,target,ticker,recom_type_ordinal
2020-11-10,Resumed,Bernstein,Outperform,120,ABBV,4
2020-09-29,Initiated,Berenberg,Hold,98,ABBV,2
2020-06-23,Upgrade,Atlantic Equities,Neutral to Overweight,115,ABBV,5
2020-06-09,Upgrade,Wolfe Research,Peer-Perform to Outperform,,ABBV,5
2020-06-02,Upgrade,Argus,Hold to Buy,115,ABBV,5
2020-05-18,Resumed,BofA/Merrill,Neutral,95,ABBV,4
2020-05-12,Upgrade,JP Morgan,Neutral to Overweight,105,ABBV,5
2020-05-11,Resumed,Morgan Stanley,Overweight,95,ABBV,4
2020-04-20,Upgrade,RBC Capital Mkts,Sector-Perform to Outperform,79-93,ABBV,5
2020-03-23,Downgrade,Societe Generale,Buy to Hold,,ABBV,1
2020-02-27,Initiated,Barclays,Equal-Weight,97,ABBV,2
2020-02-06,Initiated,Mizuho,Buy,,ABBV,2
2020-01-07,Initiated,RBC Capital Mkts,Sector-Perform,86,ABBV,2
2019-12-26,Reiterated,Cowen,Outperform,90-98,ABBV,3
2019-09-26,Upgrade,Citigroup,Neutral to Buy,87-90,ABBV,5
2019-08-20,Upgrade,Piper Jaffray,Neutral to Overweight,80,ABBV,5
2019-06-27,Upgrade,Wolfe Research,Underperform to Peer-Perform,,ABBV,5
2019-06-26,Upgrade,SVB Leerink,Mkt-Perform to Outperform,88,ABBV,5
2019-05-28,Initiated,Goldman,Neutral,,ABBV,2
2019-04-29,Upgrade,BMO Capital Markets,Underperform to Market-Perform,,ABBV,5
2021-01-05,Downgrade,Credit Suisse,Neutral to Underperform,38-34,CAG,1
2020-06-22,Upgrade,Jefferies,Hold to Buy,41,CAG,5
2020-05-18,Downgrade,Standpoint Research,Buy to Hold,,CAG,1
2020-05-11,Downgrade,SunTrust,Buy to Hold,,CAG,1
2020-03-18,Upgrade,Bernstein,Underperform to Mkt-Perform,26-30,CAG,5
2020-02-27,Upgrade,Standpoint Research,Hold to Buy,,CAG,5
2020-01-23,Initiated,Jefferies,Hold,,CAG,2
2020-01-22,Initiated,Jefferies,Hold,,CAG,2
2019-12-12,Resumed,Deutsche Bank,Hold,29,CAG,4
2019-11-14,Initiated,Berenberg,Hold,29,CAG,2
2019-10-17,Resumed,RBC Capital Mkts,Sector-Perform,30,CAG,4
2019-09-06,Downgrade,Goldman,Buy to Neutral,33-31,CAG,1
2019-06-12,Initiated,Evercore ISI,Outperform,,CAG,2
2019-05-20,Resumed,Morgan Stanley,Equal-Weight,31,CAG,4
2019-05-14,Initiated,SunTrust,Buy,35,CAG,2
2019-04-11,Reiterated,BofA/Merrill,Buy,30-35,CAG,3
2018-11-14,Downgrade,Bernstein,Mkt-Perform to Underperform,,CAG,1
2018-10-31,Resumed,Credit Suisse,Neutral,,CAG,4
2017-12-22,Reiterated,Stifel,Buy,38-42,CAG,3
2017-12-14,Upgrade,Bernstein,Underperform to Mkt-Perform,,CAG,5
2020-11-13,Upgrade,New Street,Neutral to Buy,60,CSCO,5
2020-10-12,Downgrade,Citigroup,Buy to Neutral,48-43,CSCO,1
2020-09-23,Resumed,UBS,Neutral,41,CSCO,4
2020-09-18,Downgrade,Wolfe Research,Outperform to Peer-Perform,42,CSCO,1
2020-07-24,Initiated,Wolfe Research,Outperform,,CSCO,2
2020-07-16,Downgrade,JP Morgan,Overweight to Neutral,50,CSCO,1
2020-07-09,Upgrade,Morgan Stanley,Equal-Weight to Overweight,54,CSCO,5
2020-06-16,Upgrade,BofA/Merrill,Neutral to Buy,48-55,CSCO,5
2020-06-10,Downgrade,Robert W. Baird,Outperform to Neutral,48,CSCO,1
2020-04-17,Downgrade,KeyBanc Capital Markets,Overweight to Sector-Weight,,CSCO,1
2020-02-27,Upgrade,Standpoint Research,Hold to Buy,,CSCO,5
2020-01-08,Downgrade,BofA/Merrill,Buy to Neutral,,CSCO,1
2019-12-19,Upgrade,Barclays,Equal-Weight to Overweight,53,CSCO,5
2019-12-12,Upgrade,Edward Jones,Hold to Buy,,CSCO,5
2019-11-14,Reiterated,BofA/Merrill,Buy,62-56,CSCO,3
2019-11-13,Resumed,RBC Capital Mkts,Outperform,,CSCO,4
2019-11-11,Downgrade,Piper Jaffray,Overweight to Neutral,55-51,CSCO,1
2019-10-10,Downgrade,Goldman,Buy to Neutral,56-48,CSCO,1
2019-09-11,Initiated,Evercore ISI,Outperform,,CSCO,2
2019-08-15,Reiterated,RBC Capital Mkts,Outperform,64-53,CSCO,3
2021-01-20,Downgrade,Credit Suisse,Neutral to Underperform,,GSK,1
2021-01-15,Initiated,Deutsche Bank,Hold,,GSK,2
2020-11-02,Upgrade,Liberum,Hold to Buy,,GSK,5
2020-09-29,Initiated,Berenberg,Buy,,GSK,2
2020-02-12,Downgrade,Shore Capital,Hold to Sell,,GSK,1
2020-01-16,Downgrade,Barclays,Equal-Weight to Underweight,,GSK,1
2019-12-02,Initiated,SVB Leerink,Outperform,,GSK,2
2019-11-21,Upgrade,UBS,Neutral to Buy,,GSK,5
2019-10-11,Upgrade,Cantor Fitzgerald,Hold to Buy,,GSK,5
2019-09-03,Upgrade,Societe Generale,Sell to Buy,,GSK,5
2019-09-03,Resumed,Citigroup,Neutral,,GSK,4
2019-08-13,Resumed,JP Morgan,Neutral,,GSK,4
2019-06-17,Resumed,Morgan Stanley,Underweight,,GSK,4
2019-03-08,Downgrade,Shore Capital,Buy to Hold,,GSK,1
2019-02-22,Downgrade,UBS,Buy to Neutral,,GSK,1
2019-01-14,Downgrade,Exane BNP Paribas,Outperform to Neutral,,GSK,1
2018-12-11,Resumed,Jefferies,Buy,,GSK,4
2018-10-09,Initiated,Guggenheim,Neutral,,GSK,2
2018-08-30,Downgrade,Liberum,Buy to Hold,,GSK,1
2018-04-04,Upgrade,Exane BNP Paribas,Neutral to Outperform,,GSK,5
2021-01-07,Downgrade,Robert W. Baird,Outperform to Neutral,420-368,LMT,1
2020-09-08,Initiated,Morgan Stanley,Overweight,509,LMT,2
2020-05-21,Initiated,RBC Capital Mkts,Sector-Perform,410,LMT,2
2020-05-19,Initiated,Seaport Global Securities,Buy,435,LMT,2
2020-03-25,Upgrade,DZ Bank,Hold to Buy,360,LMT,5
2020-01-29,Downgrade,Alembic Global Advisors,Overweight to Neutral,,LMT,1
2019-04-24,Reiterated,BofA/Merrill,Buy,390-400,LMT,3
2019-01-10,Initiated,Susquehanna,Positive,321,LMT,2
2019-01-10,Downgrade,Morgan Stanley,Overweight to Equal-Weight,,LMT,1
2018-07-26,Upgrade,Berenberg,Hold to Buy,,LMT,5
2018-07-25,Reiterated,Stifel,Buy,400-370,LMT,3
2018-03-29,Initiated,Barclays,Equal-Weight,369,LMT,2
