date,recom_type,source,ticker,recom_type_ordinal
2020-11-10,Resumed,Bernstein,ABBV,4
2020-09-29,Initiated,Berenberg,ABBV,2
2020-06-23,Upgrade,Atlantic Equities,ABBV,5
2020-06-09,Upgrade,Wolfe Research,ABBV,5
2020-06-02,Upgrade,Argus,ABBV,5
2020-05-18,Resumed,BofA/Merrill,ABBV,4
2020-05-12,Upgrade,JP Morgan,ABBV,5
2020-05-11,Resumed,Morgan Stanley,ABBV,4
2020-04-20,Upgrade,RBC Capital Mkts,ABBV,5
2020-03-23,Downgrade,Societe Generale,ABBV,1
2020-02-27,Initiated,Barclays,ABBV,2
2020-02-06,Initiated,Mizuho,ABBV,2
2020-01-07,Initiated,RBC Capital Mkts,ABBV,2
2019-12-26,Reiterated,Cowen,ABBV,3
2019-09-26,Upgrade,Citigroup,ABBV,5
2019-08-20,Upgrade,Piper Jaffray,ABBV,5
2019-06-27,Upgrade,Wolfe Research,ABBV,5
2019-06-26,Upgrade,SVB Leerink,ABBV,5
2019-05-28,Initiated,Goldman,ABBV,2
2019-04-29,Upgrade,BMO Capital Markets,ABBV,5
2021-01-05,Downgrade,Credit Suisse,CAG,1
2020-06-22,Upgrade,Jefferies,CAG,5
2020-05-18,Downgrade,Standpoint Research,CAG,1
2020-05-11,Downgrade,SunTrust,CAG,1
2020-03-18,Upgrade,Bernstein,CAG,5
2020-02-27,Upgrade,Standpoint Research,CAG,5
2020-01-23,Initiated,Jefferies,CAG,2
2020-01-22,Initiated,Jefferies,CAG,2
2019-12-12,Resumed,Deutsche Bank,CAG,4
2019-11-14,Initiated,Berenberg,CAG,2
2019-10-17,Resumed,RBC Capital Mkts,CAG,4
2019-09-06,Downgrade,Goldman,CAG,1
2019-06-12,Initiated,Evercore ISI,CAG,2
2019-05-20,Resumed,Morgan Stanley,CAG,4
2019-05-14,Initiated,SunTrust,CAG,2
2019-04-11,Reiterated,BofA/Merrill,CAG,3
2018-11-14,Downgrade,Bernstein,CAG,1
2018-10-31,Resumed,Credit Suisse,CAG,4
2017-12-22,Reiterated,Stifel,CAG,3
2017-12-14,Upgrade,Bernstein,CAG,5
2020-11-13,Upgrade,New Street,CSCO,5
2020-10-12,Downgrade,Citigroup,CSCO,1
2020-09-23,Resumed,UBS,CSCO,4
2020-09-18,Downgrade,Wolfe Research,CSCO,1
2020-07-24,Initiated,Wolfe Research,CSCO,2
2020-07-16,Downgrade,JP Morgan,CSCO,1
2020-07-09,Upgrade,Morgan Stanley,CSCO,5
2020-06-16,Upgrade,BofA/Merrill,CSCO,5
2020-06-10,Downgrade,Robert W. Baird,CSCO,1
2020-04-17,Downgrade,KeyBanc Capital Markets,CSCO,1
2020-02-27,Upgrade,Standpoint Research,CSCO,5
2020-01-08,Downgrade,BofA/Merrill,CSCO,1
2019-12-19,Upgrade,Barclays,CSCO,5
2019-12-12,Upgrade,Edward Jones,CSCO,5
2019-11-14,Reiterated,BofA/Merrill,CSCO,3
2019-11-13,Resumed,RBC Capital Mkts,CSCO,4
2019-11-11,Downgrade,Piper Jaffray,CSCO,1
2019-10-10,Downgrade,Goldman,CSCO,1
2019-09-11,Initiated,Evercore ISI,CSCO,2
2019-08-15,Reiterated,RBC Capital Mkts,CSCO,3
2021-01-20,Downgrade,Credit Suisse,GSK,1
2021-01-15,Initiated,Deutsche Bank,GSK,2
2020-11-02,Upgrade,Liberum,GSK,5
2020-09-29,Initiated,Berenberg,GSK,2
2020-02-12,Downgrade,Shore Capital,GSK,1
2020-01-16,Downgrade,Barclays,GSK,1
2019-12-02,Initiated,SVB Leerink,GSK,2
2019-11-21,Upgrade,UBS,GSK,5
2019-10-11,Upgrade,Cantor Fitzgerald,GSK,5
2019-09-03,Upgrade,Societe Generale,GSK,5
2019-09-03,Resumed,Citigroup,GSK,4
2019-08-13,Resumed,JP Morgan,GSK,4
2019-06-17,Resumed,Morgan Stanley,GSK,4
2019-03-08,Downgrade,Shore Capital,GSK,1
2019-02-22,Downgrade,UBS,GSK,1
2019-01-14,Downgrade,Exane BNP Paribas,GSK,1
2018-12-11,Resumed,Jefferies,GSK,4
2018-10-09,Initiated,Guggenheim,GSK,2
2018-08-30,Downgrade,Liberum,GSK,1
2018-04-04,Upgrade,Exane BNP Paribas,GSK,5
2021-01-07,Downgrade,Robert W. Baird,LMT,1
2020-09-08,Initiated,Morgan Stanley,LMT,2
2020-05-21,Initiated,RBC Capital Mkts,LMT,2
2020-05-19,Initiated,Seaport Global Securities,LMT,2
2020-03-25,Upgrade,DZ Bank,LMT,5
2020-01-29,Downgrade,Alembic Global Advisors,LMT,1
2019-04-24,Reiterated,BofA/Merrill,LMT,3
2019-01-10,Initiated,Susquehanna,LMT,2
2019-01-10,Downgrade,Morgan Stanley,LMT,1
2018-07-26,Upgrade,Berenberg,LMT,5
2018-07-25,Reiterated,Stifel,LMT,3
2018-03-29,Initiated,Barclays,LMT,2
2018-02-23,Reiterated,Morgan Stanley,LMT,3
2018-02-06,Reiterated,Argus,LMT,3
2018-01-30,Reiterated,Stifel,LMT,3
2018-01-16,Downgrade,Wells Fargo,LMT,1
2017-10-25,Reiterated,Stifel,LMT,3
2017-10-25,Reiterated,RBC Capital Mkts,LMT,3
2017-08-08,Initiated,Morgan Stanley,LMT,2
2017-01-25,Reiterated,RBC Capital Mkts,LMT,3
2020-11-10,Resumed,Bernstein,MRK,4
2020-09-29,Initiated,Berenberg,MRK,2
2020-08-03,Upgrade,Goldman,MRK,5
2020-06-12,Downgrade,Wolfe Research,MRK,1
2020-02-27,Initiated,Barclays,MRK,2
2020-01-07,Initiated,RBC Capital Mkts,MRK,2
2019-10-17,Resumed,BofA/Merrill,MRK,4
2019-08-16,Initiated,SVB Leerink,MRK,2
2019-07-03,Initiated,Mizuho,MRK,2
2019-05-28,Initiated,Goldman,MRK,2
2019-05-13,Upgrade,Atlantic Equities,MRK,5
2018-10-16,Reiterated,Citigroup,MRK,3
2018-10-09,Resumed,Guggenheim,MRK,4
2018-04-23,Upgrade,Goldman,MRK,5
2018-04-17,Upgrade,Morgan Stanley,MRK,5
2018-04-05,Upgrade,Barclays,MRK,5
2018-03-12,Upgrade,Leerink Partners,MRK,5
2018-02-14,Reiterated,Leerink Partners,MRK,3
2018-02-07,Reiterated,Morgan Stanley,MRK,3
2018-01-16,Upgrade,SunTrust,MRK,5
2020-10-02,Initiated,Barclays,RCI,2
2020-03-31,Upgrade,Scotiabank,RCI,5
2019-10-24,Upgrade,RBC Capital Mkts,RCI,5
2019-07-08,Downgrade,JP Morgan,RCI,1
2019-05-01,Upgrade,Desjardins,RCI,5
2019-04-22,Downgrade,Scotia Howard Weil,RCI,1
2019-01-25,Downgrade,Macquarie,RCI,1
2018-11-29,Downgrade,Edward Jones,RCI,1
2018-10-22,Downgrade,Desjardins,RCI,1
2018-07-20,Reiterated,Barclays,RCI,3
2018-01-26,Downgrade,National Bank Financial,RCI,1
2018-01-08,Upgrade,Desjardins,RCI,5
2017-04-05,Downgrade,CIBC,RCI,1
2017-01-09,Downgrade,RBC Capital Mkts,RCI,1
2016-07-05,Resumed,BofA/Merrill,RCI,4
2016-04-19,Reiterated,RBC Capital Mkts,RCI,3
2015-12-17,Downgrade,Morgan Stanley,RCI,1
2015-12-11,Upgrade,TD Securities,RCI,5
2015-12-04,Initiated,Goldman,RCI,2
2015-10-23,Reiterated,Barclays,RCI,3
2021-01-21,Upgrade,Credit Suisse,TRP,5
2021-01-21,Upgrade,BMO Capital Markets,TRP,5
2021-01-12,Downgrade,Barclays,TRP,1
2021-01-06,Downgrade,BofA Securities,TRP,1
2020-10-15,Upgrade,Goldman,TRP,5
2020-07-15,Upgrade,Scotiabank,TRP,5
2020-07-09,Initiated,Raymond James,TRP,2
2020-06-01,Upgrade,Morgan Stanley,TRP,5
2020-05-13,Downgrade,BMO Capital Markets,TRP,1
2020-05-12,Initiated,Jefferies,TRP,2
2020-03-16,Upgrade,UBS,TRP,5
2020-03-09,Upgrade,BofA/Merrill,TRP,5
2020-03-05,Initiated,Barclays,TRP,2
2020-02-24,Upgrade,Goldman,TRP,5
2020-01-06,Initiated,Morgan Stanley,TRP,2
2019-12-18,Resumed,BofA/Merrill,TRP,4
2019-05-29,Downgrade,Credit Suisse,TRP,1
2019-01-24,Initiated,Macquarie,TRP,2
2019-01-03,Downgrade,Goldman,TRP,1
2018-10-09,Initiated,Goldman,TRP,2
2020-10-08,Downgrade,Itau BBA,VALE,1
2020-06-05,Upgrade,Exane BNP Paribas,VALE,5
2020-06-03,Upgrade,UBS,VALE,5
2020-05-11,Upgrade,RBC Capital Mkts,VALE,5
2020-04-01,Upgrade,BMO Capital Markets,VALE,5
2020-03-31,Upgrade,Goldman,VALE,5
2020-03-20,Upgrade,Deutsche Bank,VALE,5
2020-03-17,Upgrade,Citigroup,VALE,5
2020-03-11,Upgrade,HSBC Securities,VALE,5
2020-03-03,Upgrade,Morgan Stanley,VALE,5
2019-12-11,Upgrade,Jefferies,VALE,5
2019-09-10,Upgrade,Macquarie,VALE,5
2019-09-05,Upgrade,Exane BNP Paribas,VALE,5
2019-05-24,Upgrade,RBC Capital Mkts,VALE,5
2019-05-24,Upgrade,BofA/Merrill,VALE,5
2019-02-19,Initiated,Goldman,VALE,2
2019-02-07,Downgrade,Morgan Stanley,VALE,1
2019-01-28,Downgrade,Macquarie,VALE,1
2019-01-28,Downgrade,Jefferies,VALE,1
2019-01-28,Downgrade,HSBC Securities,VALE,1
2020-12-02,Upgrade,MoffettNathanson,VZ,5
2020-11-16,Resumed,Wells Fargo,VZ,4
2020-11-05,Upgrade,JP Morgan,VZ,5
2020-10-20,Initiated,Wolfe Research,VZ,2
