Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,ticker,name,sector,industry
S&P 500,55.17,2.30,0.40%,309.00M,0.02%,38.91B,30.44,4.17,-15.97%,304.40M,6.45%,719.00M,5.93,0.89,90.10%,0.82%,20.25%,5.34B,7.29,-31.60%,0.10%,1.42,31.81%,15.77,8.05,12.88%,7.50%,124.44,40.91%,4.70,27.00,9.30%,14.80%,61.13 - 129.34,7.18%,0.78,67.09,12.00%,10.00%,-1.81%,1.02,0.61%,1.80,5.70%,53.10%,107.75%,2.32,16400,2.30,8.50%,15.80%,68.39,1.62% 1.89%,Yes,0.48,14.40%,13.50%,0.77,128.11,Yes,0.47,Nov 23 AMC,30.30%,1.76M,127.00,2.20,3.89%,8.35%,28.81%,"1,612,125",-0.87%,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research
S&P 500,24.25,6.87,0.20%,68.97M,-2.96%,11.55B,17.53,9.51,0.00%,67.60M,4.18%,476.90M,2.12,1.96,-,4.16%,8.93%,9.85B,1.17,21.10%,0.01%,2.94,11.57%,54.56,3.05,10.76%,4.00%,176.13,12.89%,15.41,10.82,11.45%,13.10%,71.33 - 177.92,5.82%,1.00,18.70,0.40%,12.30%,-6.32%,1.32,0.60%,0.40,-0.30%,43.90%,133.68%,4.02,39000,1.40,9.90%,6.90%,56.45,2.08% 2.41%,Yes,0.00,21.70%,4.80%,0.48,165.18,Yes,0.27,Nov 10 BMO,12.60%,955.51K,166.68,2.30,1.83%,5.90%,13.94%,"472,060",0.91%,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail
DJIA S&P500,41.89,3.27,0.07%,17.06B,4.57%,2334.66B,31.33,4.37,-6.96%,16.63B,8.07%,57.41B,3.24,1.40,60.30%,0.55%,16.48%,274.52B,8.50,10.20%,-0.04%,0.84,40.71%,3.83,35.74,8.85%,17.60%,131.71,72.33%,5.33,25.67,12.92%,75.20%,53.15 - 138.79,3.15%,0.82,39.38,7.30%,31.70%,-1.38%,1.27,0.60%,1.30,3.30%,38.20%,157.50%,3.75,147000,1.40,1.00%,24.10%,63.18,2.66% 2.70%,Yes,1.73,-3.00%,20.90%,1.10,132.03,Yes,1.52,Jan 27 AMC,24.10%,108.47M,136.87,2.00,4.66%,9.70%,30.75%,"120,529,544",3.67%,AAPL,Apple Inc.,Technology,Consumer Electronics
-,-,-0.66,0.90%,63.50M,11.90%,10.25B,125.13,1.30,-36.59%,62.82M,29.68%,-39.90M,-,0.35,88.40%,4.55%,53.24%,626.70M,16.36,-97.10%,0.03%,4.73,82.38%,14.10,11.53,16.82%,-3.80%,120.75,105.54%,8.04,20.22,18.80%,-5.60%,50.05 - 168.48,32.65%,-,-,-47.40%,-1.40%,-3.53%,0.55,-,3.00,26.40%,58.70%,224.75%,7.03,1323,3.40,27.20%,-5.50%,78.10,5.44% 4.71%,Yes,0.00,-113.50%,-6.40%,1.41,164.56,Yes,0.00,Nov 05 AMC,-,605.42K,162.54,2.20,22.48%,27.87%,67.11%,"873,372",-1.23%,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense
-,135.25,0.22,-,2.12B,-0.36%,68.15B,-,-,-,1.95B,10.44%,481.00M,9.26,-,4.80%,0.28%,12.83%,26.02B,2.62,-27.90%,-0.02%,3.04,15.11%,7.90,3.82,-,12.00%,26.19,26.35%,3.82,7.89,14.60%,41.10%,14.71 - 30.89,7.87%,0.83,38.81,-15.30%,5.20%,-2.35%,1.11,2.75%,1.10,-6.80%,30.70%,105.03%,0.50,144400,1.40,-4.50%,6.40%,64.92,1.22% 1.29%,Yes,0.52,-221.10%,21.30%,0.98,29.75,Yes,0.38,Feb 04 BMO,30.10%,1.82M,30.16,2.20,4.27%,8.78%,24.17%,"1,767,800",1.38%,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery
S&P 500,24.32,4.57,0.10%,1.77B,-1.06%,198.40B,9.13,12.19,-24.47%,1.76B,6.52%,7.32B,2.17,2.86,70.00%,0.76%,32.06%,40.65B,4.88,42.30%,0.00%,1.62,13.88%,8.63,12.89,16.26%,6.10%,117.10,27.58%,4.46,24.96,11.23%,203.50%,62.55 - 113.41,3.84%,5.20,24.44,36.80%,21.20%,-1.90%,0.80,4.67%,0.80,10.80%,68.60%,77.87%,2.25,47000,1.00,52.20%,28.50%,63.02,1.99% 1.92%,Yes,5.70,2.20%,18.00%,0.65,112.62,Yes,5.39,Feb 03 BMO,100.60%,8.24M,111.26,2.00,3.82%,6.58%,18.30%,"5,416,967",-1.21%,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General
S&P 500,-,-16.80,0.10%,204.08M,-0.67%,21.24B,11.53,9.10,-39.30%,147.39M,6.39%,-3408.70M,-,1.94,67.00%,1.79%,7.06%,189.89B,0.11,-530.90%,-0.07%,2.28,1.06%,-4.99,-,8.32%,-8.20%,120.75,14.00%,22.71,4.62,8.73%,-145.30%,72.06 - 112.48,7.31%,1.76,14.22,8.70%,-105.20%,-6.73%,0.50,1.68%,0.60,6.90%,2.70%,45.59%,2.67,22000,1.00,7.90%,-2.70%,55.62,2.63% 2.62%,Yes,-,-,-1.80%,0.97,103.79,Yes,-,Feb 04 BMO,-,1.16M,104.91,2.30,3.00%,2.62%,7.19%,"1,218,667",1.08%,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution
-,2827.78,0.02,23.40%,278.90M,16.00%,14.20B,34.58,1.47,0.00%,178.40M,3.41%,0.30M,-,1.36,7.30%,2.04%,-,20.40M,695.88,-857.50%,-,2.29,-,-,-,-32.29%,-,51.40,-,0.33,155.83,-,-,36.27 - 71.91,26.49%,-,-,-,-61.40%,-29.22%,-,-,5.60,-,-,40.34%,4.53,174,5.70,171.30%,-,-,8.11% 8.91%,No,0.31,-,-,0.62,48.20,Yes,0.27,-,-,1.58M,50.90,1.60,20.62%,15.56%,15.56%,"1,003,831",5.60%,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology
-,16.70,0.18,-,15.73B,-4.55%,46.26B,22.62,0.13,-,4.39B,-6.07%,-,-,0.04,8.62%,1.59%,24.68%,-,-,-47.40%,-,2.75,4.05%,0.99,2.98,30.00%,-,3.23,-33.39%,-,-,-,-,1.85 - 4.41,-3.92%,0.09,-,39.83%,-,-33.39%,-,3.06%,-,-,-,58.81%,0.11,50000,-,30.50%,-,46.54,3.13% 3.13%,Yes,-,-8.90%,-,0.77,3.04,Yes,-,-,-,25.39M,2.94,3.20,-3.84%,1.14%,17.53%,"19,543,704",-3.29%,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers
S&P 500,76.51,4.56,1.00%,45.10M,7.68%,15.21B,68.80,5.07,-21.17%,44.14M,18.80%,207.80M,4.47,1.13,97.40%,4.77%,25.59%,802.90M,18.94,-21.00%,-0.06%,7.08,17.25%,26.22,13.29,12.90%,16.70%,326.60,89.00%,12.22,28.53,17.10%,18.90%,119.01 - 353.49,7.51%,-,61.82,10.80%,17.90%,-1.39%,1.42,-,6.00,29.60%,80.80%,192.88%,11.11,1536,6.80,2.30%,27.30%,78.44,4.03% 3.32%,Yes,0.00,378.60%,25.90%,1.01,347.87,Yes,0.00,Jan 28 BMO,0.00%,297.25K,348.56,2.30,8.90%,19.99%,33.36%,"298,804",0.20%,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices
