Description,ABBV
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,5
Account starting balance,50000
Account ending balance,63206.60363947758
Account share balance,0
Account Close Value,0
Profit/Loss,13206.60363947758
Total Percentage return (whole period),26.41320727895516
Percentage return per yr,26.41320727895516
Banking returns,50750.0
RMSE,1.3309039588010556
Number of right calls,168
Right calls %,66.66666666666666
Number of wrong calls,84
Wrong calls %,33.33333333333333
