Description,CSCO
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,5
Account starting balance,50000
Account ending balance,52959.128060572504
Account share balance,0
Account Close Value,0
Profit/Loss,2959.128060572504
Total Percentage return (whole period),5.918256121145008
Percentage return per yr,5.918256121145008
Banking returns,50750.0
RMSE,1.1086438876028906
Number of right calls,143
Right calls %,56.74603174603175
Number of wrong calls,109
Wrong calls %,43.25396825396825
