Description,DG
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,6
Account starting balance,50000
Account ending balance,62936.84255740399
Account share balance,0
Account Close Value,0
Profit/Loss,12936.842557403987
Total Percentage return (whole period),25.87368511480797
Percentage return per yr,25.87368511480797
Banking returns,50750.0
RMSE,3.0809394544156263
Number of right calls,136
Right calls %,53.96825396825397
Number of wrong calls,116
Wrong calls %,46.03174603174603
