Description,GSK
Strategy Name,Long Term Simple Strategy
Trade actions from,2000-01-03 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,5167
In yrs rounded up,20
Total trades conducted,56
Account starting balance,50000
Account ending balance,81968.40936354706
Account share balance,0
Account Close Value,0
Profit/Loss,31968.409363547064
Total Percentage return (whole period),63.93681872709413
Percentage return per yr,3.1968409363547066
Banking returns,67342.75
RMSE,0.6238141870784976
Number of right calls,2892
Right calls %,55.948926291352294
Number of wrong calls,2277
Wrong calls %,44.051073708647706
