Description,MRK
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,18
Account starting balance,50000
Account ending balance,55970.99482824211
Account share balance,0
Account Close Value,0
Profit/Loss,5970.99482824211
Total Percentage return (whole period),11.94198965648422
Percentage return per yr,11.94198965648422
Banking returns,50750.0
RMSE,0.9187366196701487
Number of right calls,128
Right calls %,50.79365079365079
Number of wrong calls,124
Wrong calls %,49.2063492063492
