Description,NEM
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,11
Account starting balance,50000
Account ending balance,57590.679775230885
Account share balance,0
Account Close Value,0
Profit/Loss,7590.679775230885
Total Percentage return (whole period),15.18135955046177
Percentage return per yr,15.18135955046177
Banking returns,50750.0
RMSE,0.6173938861254926
Number of right calls,184
Right calls %,73.01587301587301
Number of wrong calls,68
Wrong calls %,26.984126984126984
