Description,NEM
Strategy Name,Long Term Simple Strategy
Trade actions from,2000-01-03 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,5166
In yrs rounded up,20
Total trades conducted,37
Account starting balance,50000
Account ending balance,72999.23089510137
Account share balance,0
Account Close Value,0
Profit/Loss,22999.23089510137
Total Percentage return (whole period),45.99846179020274
Percentage return per yr,2.2999230895101372
Banking returns,67342.75
RMSE,0.6173938861254926
Number of right calls,3483
Right calls %,67.42160278745645
Number of wrong calls,1683
Wrong calls %,32.57839721254355
