Description,RCI
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,5
Account starting balance,50000
Account ending balance,50101.698211309755
Account share balance,0
Account Close Value,0
Profit/Loss,101.6982113097547
Total Percentage return (whole period),0.2033964226195094
Percentage return per yr,0.2033964226195094
Banking returns,50750.0
RMSE,0.4487610459715153
Number of right calls,162
Right calls %,64.28571428571429
Number of wrong calls,90
Wrong calls %,35.714285714285715
