Description,VALE
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,13
Account starting balance,50000
Account ending balance,55163.33269806865
Account share balance,0
Account Close Value,0
Profit/Loss,5163.332698068647
Total Percentage return (whole period),10.326665396137294
Percentage return per yr,10.326665396137294
Banking returns,50750.0
RMSE,0.4840304816568724
Number of right calls,139
Right calls %,55.158730158730165
Number of wrong calls,113
Wrong calls %,44.84126984126984
