Description,ABT
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,7
Account starting balance,50000
Account ending balance,55968.06820657325
Account share balance,0
Account Close Value,0
Profit/Loss,5968.068206573247
Total Percentage return (whole period),11.936136413146494
Percentage return per yr,11.936136413146494
Banking returns,50750.0
RMSE,0.6757822415227492
Number of right calls,152
Right calls %,60.317460317460316
Number of wrong calls,100
Wrong calls %,39.682539682539684
