Description,AJG
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,7
Account starting balance,50000
Account ending balance,52129.29546336193
Account share balance,0
Account Close Value,0
Profit/Loss,2129.29546336193
Total Percentage return (whole period),4.25859092672386
Percentage return per yr,4.25859092672386
Banking returns,50750.0
RMSE,0.7645977347516778
Number of right calls,119
Right calls %,47.22222222222222
Number of wrong calls,133
Wrong calls %,52.77777777777778
