Description,CSCO
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,4
Account starting balance,50000
Account ending balance,51755.629198923925
Account share balance,0
Account Close Value,0
Profit/Loss,1755.6291989239253
Total Percentage return (whole period),3.5112583978478504
Percentage return per yr,3.5112583978478504
Banking returns,50750.0
RMSE,0.6130559469926499
Number of right calls,142
Right calls %,56.34920634920635
Number of wrong calls,110
Wrong calls %,43.65079365079365
