Description,DG
Strategy Name,Long Term Simple Strategy
Trade actions from,2009-11-13 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,2684
In yrs rounded up,11
Total trades conducted,18
Account starting balance,50000
Account ending balance,59308.05753327989
Account share balance,0
Account Close Value,0
Profit/Loss,9308.05753327989
Total Percentage return (whole period),18.616115066559782
Percentage return per yr,1.6923740969599803
Banking returns,58897.45
RMSE,1.6448594606680285
Number of right calls,1890
Right calls %,70.41728763040238
Number of wrong calls,794
Wrong calls %,29.582712369597612
