Description,GSK
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,3
Account starting balance,50000
Account ending balance,51063.890396847564
Account share balance,0
Account Close Value,0
Profit/Loss,1063.8903968475643
Total Percentage return (whole period),2.1277807936951287
Percentage return per yr,2.1277807936951287
Banking returns,50750.0
RMSE,0.2867287352796144
Number of right calls,152
Right calls %,60.317460317460316
Number of wrong calls,100
Wrong calls %,39.682539682539684
