Description,LDOS
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,7
Account starting balance,50000
Account ending balance,52059.92255230111
Account share balance,0
Account Close Value,0
Profit/Loss,2059.922552301112
Total Percentage return (whole period),4.1198451046022235
Percentage return per yr,4.1198451046022235
Banking returns,50750.0
RMSE,0.7690373089738856
Number of right calls,172
Right calls %,68.25396825396825
Number of wrong calls,80
Wrong calls %,31.746031746031743
