Description,LDOS
Strategy Name,Long Term Simple Strategy
Trade actions from,2006-10-17 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,3459
In yrs rounded up,14
Total trades conducted,19
Account starting balance,50000
Account ending balance,56214.42121988046
Account share balance,0
Account Close Value,0
Profit/Loss,6214.42121988046
Total Percentage return (whole period),12.428842439760919
Percentage return per yr,0.8877744599829228
Banking returns,61587.79
RMSE,0.7690373089738856
Number of right calls,2684
Right calls %,77.59468054350968
Number of wrong calls,775
Wrong calls %,22.405319456490318
