Description,NEM
Strategy Name,Long Term Simple Strategy
Trade actions from,2000-01-03 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,5166
In yrs rounded up,20
Total trades conducted,75
Account starting balance,50000
Account ending balance,86791.81473487179
Account share balance,0
Account Close Value,0
Profit/Loss,36791.81473487179
Total Percentage return (whole period),73.58362946974358
Percentage return per yr,3.6791814734871795
Banking returns,67342.75
RMSE,0.9910086907314933
Number of right calls,3302
Right calls %,63.91792489353465
Number of wrong calls,1864
Wrong calls %,36.08207510646535
