Description,PWR
Strategy Name,Long Term Simple Strategy
Trade actions from,2000-01-03 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,5166
In yrs rounded up,20
Total trades conducted,137
Account starting balance,50000
Account ending balance,165508.23358577077
Account share balance,0
Account Close Value,0
Profit/Loss,115508.23358577077
Total Percentage return (whole period),231.0164671715415
Percentage return per yr,11.550823358577075
Banking returns,67342.75
RMSE,0.6412742588024687
Number of right calls,3211
Right calls %,62.15640727835849
Number of wrong calls,1955
Wrong calls %,37.8435927216415
