Description,RCI
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,5
Account starting balance,50000
Account ending balance,52624.37991457022
Account share balance,0
Account Close Value,0
Profit/Loss,2624.3799145702214
Total Percentage return (whole period),5.248759829140443
Percentage return per yr,5.248759829140443
Banking returns,50750.0
RMSE,0.22685148466199193
Number of right calls,188
Right calls %,74.60317460317461
Number of wrong calls,64
Wrong calls %,25.396825396825395
