Description,SAP
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-12 00:00:00
Trade actions to,2020-10-11 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,250
In yrs rounded up,1
Total trades conducted,4
Account starting balance,50000
Account ending balance,54337.56874182567
Account share balance,0
Account Close Value,0
Profit/Loss,4337.568741825671
Total Percentage return (whole period),8.675137483651342
Percentage return per yr,8.675137483651342
Banking returns,50750.0
RMSE,8.26109526048072
Number of right calls,116
Right calls %,46.400000000000006
Number of wrong calls,134
Wrong calls %,53.6
