trans_date,ticker,qty,price,action,comm_fees,trans_amount,total_plus_comm_fees,acct_bal,pred_trend,date,Open,High,Low,Volume,Close,SMA20,RSI14,MOM5,OBV,ATR14,recom_type_ordinal,compound,pred_close,right_call?,real_trend
2019-10-10,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-10,158.8969325335378,159.22378088533577,157.34194322550405,1723000.0,158.986083984375,156.68206787109375,63.61577065121769,3.3902130126953125,30606349843.0,2.974999077770232,0.0,0.0,160.63133239746094,no,-
2019-10-11,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-11,160.35289296485448,162.72005374782154,159.5605497790905,1481300.0,160.69955444335938,156.91896591186523,67.24841101999208,1.584716796875,30607831143.0,3.0292112696042537,0.0,0.0,160.9297637939453,yes,up
2019-10-14,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-14,161.2442970677115,161.50180708435997,159.50110583816166,1822800.0,159.66949462890625,157.33220367431642,63.165590479590875,1.18853759765625,30606008343.0,2.9557462679324003,0.0,0.0,161.13385009765625,no,down
2019-10-15,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-15,161.23439187421587,161.69990182031563,160.00625083597646,1169700.0,160.5212860107422,157.6076347351074,65.05496982927662,2.208709716796875,30607178043.0,2.8896506196093275,0.0,0.0,161.37022399902344,yes,up
2019-10-16,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-16,160.19442945385168,160.94716150699725,159.2039853830394,1090000.0,160.6896514892578,157.8974151611328,65.43240219833851,1.3767242431640625,30608268043.0,2.807759584205651,0.0,0.0,161.5336151123047,yes,up
2019-10-17,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-17,160.9966948904206,161.85837643953377,160.48165971586909,1632600.0,161.31362915039062,158.21295700073242,66.86094898035282,2.327545166015625,30609900643.0,2.7055422370241535,0.0,0.0,161.7305908203125,yes,up
2019-10-18,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-18,161.561231651963,163.39355922426893,160.7886864874067,1760000.0,162.8389129638672,158.63342895507813,70.11243643512475,2.1393585205078125,30611660643.0,2.6983515584411593,0.0,0.0,162.09051513671875,yes,up
2019-10-21,DG,0,163.39356575023194,hold,0.0,0.0,0.0,50000.0,down,2019-10-21,163.39356575023194,163.8887878043666,161.86827336022964,1269600.0,162.7794952392578,158.92835845947266,69.8250255865099,3.1100006103515625,30610391043.0,2.6499346217051447,0.0,0.0,162.5333709716797,yes,down
2019-10-22,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-22,162.93794069598815,165.05749029955646,162.8190922494441,1235000.0,164.2156219482422,159.29015350341797,72.73430900852902,3.6943359375,30611626043.0,2.6233675101761094,0.0,0.0,163.07040405273438,yes,up
2019-10-23,DG,0,164.5028431426389,hold,0.0,0.0,0.0,50000.0,down,2019-10-23,164.5028431426389,165.38433771317602,160.6203044098812,1497500.0,161.4225616455078,159.49549026489257,60.514350425356966,0.73291015625,30610128543.0,2.7762722096845898,0.0,0.0,163.33139038085938,yes,down
2019-10-24,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-24,161.6503771991516,162.61109400676855,160.49154438167054,1237500.0,161.35324096679688,159.68006286621093,60.24382373268992,0.03961181640625,30608891043.0,2.7293634536426916,0.0,0.0,163.21701049804688,no,down
2019-10-25,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-25,160.96698098912307,161.95742509912483,160.18452167895413,764400.0,160.63021850585938,159.802783203125,57.36337525986025,-2.2086944580078125,30608126643.0,2.6610448798232644,0.0,0.0,162.7825927734375,no,down
2019-10-28,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-28,160.82830542416565,161.53151221781155,159.70909884109574,1060300.0,161.0858154296875,160.00166244506835,58.70328864990869,-1.6936798095703125,30609186943.0,2.6011426296013034,0.0,0.0,162.33895874023438,yes,up
2019-10-29,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-29,160.83821909792024,161.38296638331732,159.00589144148756,1083200.0,159.0851287841797,160.09556503295897,51.10767284321339,-5.1304931640625,30608103743.0,2.585137794760479,0.0,0.0,161.8151092529297,no,down
2019-10-30,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-30,158.79791455987126,160.50147973026213,158.49087928723895,828600.0,160.0854949951172,160.30966796875,54.292272279205434,-1.337066650390625,30608932343.0,2.5440994124935288,0.0,0.0,161.4051971435547,yes,up
2019-10-31,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-10-31,159.6001432453057,160.11517834948398,157.8074420493308,1451400.0,158.8077850341797,160.470263671875,49.8280487226609,-2.5454559326171875,30607480943.0,2.527216333040647,0.0,0.0,160.9730682373047,no,down
2019-11-01,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-11-01,159.9269983966113,160.3528820743864,157.8470598927974,1072800.0,158.3719940185547,160.43312149047853,48.36725128382315,-2.2582244873046875,30606408143.0,2.5256881793655297,0.0,0.0,160.5393524169922,no,down
2019-11-04,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-11-04,158.9464321376956,159.17424511503015,155.21246953254442,1668700.0,156.69813537597656,160.34398040771484,43.13626214787882,-4.3876800537109375,30604739443.0,2.6282658510169727,0.0,0.0,159.91648864746094,no,down
2019-11-05,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-11-05,156.6486536108136,158.6394409525593,156.46046680036915,1414200.0,158.16403198242188,160.33655319213867,48.399528240113796,-0.9210968017578125,30606153643.0,2.596173586815058,0.0,0.0,159.39730834960938,yes,up
2019-11-06,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-11-06,158.10457568426497,158.90683288146778,157.36174270715486,1025300.0,158.0847625732422,160.2751449584961,48.14004258255233,-2.000732421875,30605128343.0,2.5210962002077624,0.0,0.0,159.01730346679688,no,down
2019-11-07,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-11-07,158.80779805979486,159.56054522294497,157.29241984647447,1212000.0,157.70840454101562,160.2112609863281,46.85560204537661,-1.0993804931640625,30603916343.0,2.5030268556551003,0.0,0.0,158.75772094726562,no,down
2019-11-08,DG,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2019-11-08,157.70838961311864,158.3719852615724,154.88563335742518,1314400.0,156.3514862060547,159.99385757446288,42.457189322228054,-2.0205078125,30602601943.0,2.5732643591188236,0.0,0.0,158.39273071289062,no,down
