trans_date,ticker,qty,price,action,comm_fees,trans_amount,total_plus_comm_fees,acct_bal,pred_trend,date,Open,High,Low,Volume,Close,SMA20,RSI14,MOM5,OBV,ATR14,recom_type_ordinal,compound,pred_close,right_call?,real_trend
2000-03-29,CAG,1970,6.107184974957117,buy,18.04673160099828,12031.15440066552,-12049.201132266518,37950.79886773348,up,2000-03-29,6.107184974957117,6.393459584935374,6.059472851801626,1782500.0,6.345746994018555,6.23958580493927,46.436743620631184,-0.4294118881225586,1419879785.0,0.3100045674086975,0.0,0.0,6.386408805847168,no,-
2000-03-30,CAG,1810,6.632019622108942,buy,18.005933274025775,12003.955516017184,-12021.96144929121,25928.837418442272,up,2000-03-30,6.632019622108942,7.156855663564355,6.608163799858275,3508400.0,6.966006278991699,6.280141401290893,59.2454812681292,0.3816981315612793,1423388185.0,0.3457977175613477,0.0,0.0,6.749790191650391,yes,up
2000-03-31,CAG,3780,7.252282099074545,sell,41.12043950175267,27413.62633450178,27372.505895000028,53301.343313442296,down,2000-03-31,7.252282099074545,7.252282099074545,6.918295383453369,3257800.0,6.918295383453369,6.315925765037536,58.09466865048992,0.6441173553466797,1420130385.0,0.34495407456562116,0.0,0.0,6.965473651885986,yes,down
2000-04-03,CAG,0,0.0,hold,0.0,0.0,0.0,53301.343313442296,up,2000-04-03,6.918295736610056,7.180713583004299,6.918295736610056,1591000.0,7.109145164489746,6.366023850440979,61.330437039184424,1.0019617080688477,1421721385.0,0.33905865492171466,0.0,0.0,7.158205509185791,yes,up
2000-04-04,CAG,0,0.0,hold,0.0,0.0,0.0,53301.343313442296,up,2000-04-04,7.228423118591309,7.371559895120277,6.989861200694855,1806800.0,7.228423118591309,6.431628298759461,63.24084812741341,1.2166614532470703,1423528185.0,0.3421043720291223,0.0,0.0,7.2939839363098145,yes,up
2000-04-05,CAG,0,0.0,hold,0.0,0.0,0.0,53301.343313442296,up,2000-04-05,7.156855889095519,7.4431304427369795,7.156855889095519,1483700.0,7.276136875152588,6.493654274940491,64.0068771215066,0.9303898811340332,1425011885.0,0.338116527858575,0.0,0.0,7.359591007232666,yes,up
2000-04-06,CAG,0,0.0,hold,0.0,0.0,0.0,53301.343313442296,up,2000-04-06,7.276133053529501,7.37155769870329,7.085283763181925,886000.0,7.180708408355713,6.550908827781678,61.25735641103688,0.21470212936401367,1424125885.0,0.33441348554877426,0.0,0.0,7.2925190925598145,no,down
2000-04-07,CAG,0,0.0,hold,0.0,0.0,0.0,53301.343313442296,up,2000-04-07,7.037574132213677,7.204567202646693,7.01371784564863,1686400.0,7.156854629516602,6.610549330711365,60.55709640119466,0.23855924606323242,1422439485.0,0.3241589049380092,0.0,0.0,7.2261834144592285,no,down
2000-04-10,CAG,0,7.228422673002941,hold,0.0,0.0,0.0,53301.343313442296,down,2000-04-10,7.228422673002941,7.228422673002941,6.98986076981238,2123200.0,7.037573337554932,6.666611289978027,57.04536517867369,-0.07157182693481445,1420316285.0,0.31804483338462,0.0,0.0,7.1251115798950195,yes,down
2000-04-11,CAG,0,0.0,hold,0.0,0.0,0.0,53301.343313442296,up,2000-04-11,7.085288691323645,7.490843832334605,7.061432396496809,1855900.0,7.395419120788574,6.738180017471313,63.82324793189127,0.16699600219726562,1422172185.0,0.32770380919855235,0.0,0.0,7.274710655212402,yes,up
