trans_date,ticker,qty,price,action,comm_fees,trans_amount,total_plus_comm_fees,acct_bal,pred_trend,date,Open,High,Low,Volume,Close,SMA20,RSI14,MOM5,OBV,ATR14,recom_type_ordinal,compound,pred_close,right_call?,real_trend
2000-03-29,LMT,0,10.99236570085798,hold,0.0,0.0,0.0,50000.0,down,2000-03-29,10.99236570085798,11.399490356445312,10.844320371553495,3296200.0,11.399490356445312,10.372887372970581,63.79704194720307,1.2583856582641602,22352062321.0,0.42395978132990814,0.0,0.0,10.979732513427734,no,-
2000-03-30,LMT,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2000-03-30,11.695577347349978,12.583849044617065,11.54753206447213,4674400.0,12.361781120300291,10.483921194076538,72.37540040395469,2.257687568664549,22356736721.0,0.47827398896146844,0.0,0.0,11.92383098602295,yes,up
2000-03-31,LMT,970,12.472824201671354,buy,18.14795921343182,12098.639475621214,-12116.787434834645,37883.212565165355,up,2000-03-31,12.472824201671354,12.472824201671354,11.65857455052367,2365800.0,12.102710723876951,10.585702800750733,67.7228457111303,1.7395362854003888,22354370921.0,0.5022722505461982,0.0,0.0,12.990949630737305,no,down
2000-04-03,LMT,1020,11.880642637200312,buy,18.177383234916476,12118.255489944318,-12136.432873179236,25746.77969198612,up,2000-04-03,11.880642637200312,12.361790158333037,11.880642637200312,1050100.0,12.102710723876951,10.657875251770019,67.7228457111303,1.5544843673706037,22354370921.0,0.5007633413023787,0.0,0.0,13.509736061096191,no,-
2000-04-04,LMT,0,0.0,hold,0.0,0.0,0.0,25746.77969198612,up,2000-04-04,12.435802424504208,12.84292690863976,11.917643990149864,2551700.0,12.028677940368652,10.746702194213867,66.31012596282969,0.9252796173095703,22351819221.0,0.5310861682443441,0.0,0.0,12.61404037475586,no,down
2000-04-05,LMT,0,12.028679990056736,hold,0.0,0.0,0.0,25746.77969198612,down,2000-04-05,12.028679990056736,12.805917774029632,12.028679990056736,1390500.0,12.39879322052002,10.844782304763793,69.71179441267905,0.999302864074707,22353209721.0,0.5486685729169609,0.0,0.0,11.78355884552002,no,up
2000-04-06,LMT,1990,12.879945569333776,sell,38.44663752446132,25631.091682974213,25592.64504544975,51339.42473743587,down,2000-04-06,12.879945569333776,13.065002258548342,12.21374148816134,2202200.0,12.54684352874756,10.965069246292114,70.97429713678626,0.18506240844726918,22355411921.0,0.5702823013076782,0.0,0.0,11.238696098327637,no,up
2000-04-07,LMT,0,12.620865626575686,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-07,12.620865626575686,12.731899635020632,12.250752265092528,1330000.0,12.472820281982422,11.090907716751099,69.4163102348903,0.3701095581054705,22354081921.0,0.5639155204948515,0.0,0.0,11.342763900756836,yes,down
2000-04-10,LMT,0,12.139716221736029,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-10,12.139716221736029,12.546840851123516,12.028682231903076,1263400.0,12.5098295211792,11.214895725250244,69.77356362650038,0.40711879730224787,22355345321.0,0.5606471704038222,0.0,0.0,11.761213302612305,no,up
2000-04-11,LMT,0,12.398792441019754,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-11,12.398792441019754,12.546837723897603,12.361781120300291,1365200.0,12.361781120300291,11.340734148025513,66.43059082862037,0.33310317993163885,22353980121.0,0.5338192727747858,0.0,0.0,12.045672416687012,yes,down
2000-04-12,LMT,0,12.398800160999675,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-12,12.398800160999675,13.13902703628324,12.398800160999675,2865000.0,13.065004348754885,11.486929130554199,73.0384522660418,0.6662111282348651,22356845121.0,0.5512068901467975,0.0,0.0,12.084989547729492,no,up
2000-04-13,LMT,0,12.657871505428602,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-13,12.657871505428602,13.027984707341718,12.472814904472044,3730500.0,12.805916786193848,11.592411470413207,67.74733387052805,0.2590732574462873,22353114621.0,0.5541342154422292,0.0,0.0,11.882071495056152,yes,down
2000-04-14,LMT,0,12.546834352153306,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-14,12.546834352153306,12.58384566292662,12.065687312100229,2415400.0,12.250743865966797,11.671985578536987,58.044025479438865,-0.222076416015625,22350699221.0,0.5674267339173285,0.0,0.0,12.00325870513916,yes,down
2000-04-17,LMT,0,0.0,hold,0.0,0.0,0.0,51339.42473743587,up,2000-04-17,12.213736503354966,12.620861053466797,11.732589307768254,2157200.0,12.620861053466797,11.777005052566528,61.95610980608098,0.11103153228759766,22352856421.0,0.5903442347588437,0.0,0.0,12.260499000549316,yes,up
2000-04-18,LMT,0,12.509827012107486,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-18,12.509827012107486,12.509827012107486,12.213736431939262,1432900.0,12.43580436706543,11.886188316345216,58.99418640950108,0.0740232467651385,22351423521.0,0.5772571195280359,0.0,0.0,12.189178466796875,yes,down
2000-04-19,LMT,0,12.398792441019754,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-19,12.398792441019754,12.583849044617065,12.324769799580832,1112900.0,12.361781120300291,11.997222137451171,57.803783501630335,-0.7032232284545934,22350310621.0,0.5545301284929072,0.0,0.0,11.88943862915039,yes,down
2000-04-20,LMT,0,12.879946653507956,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-20,12.879946653507956,13.54615079075837,12.76891263063289,2877000.0,13.4351167678833,12.16377329826355,67.91385826747057,0.6291999816894531,22353187621.0,0.5995186672047051,0.0,0.0,11.50449275970459,no,up
2000-04-24,LMT,0,13.250053138548626,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-24,13.250053138548626,15.35969847066391,13.213041816932568,5205300.0,15.322687149047852,12.411748933792115,77.92896907385736,3.0719432830810547,22358392921.0,0.7100285233851792,0.0,0.0,11.161487579345703,no,up
2000-04-25,LMT,0,15.322692861766862,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-25,15.322692861766862,15.655794880500924,14.508443482639157,5013300.0,15.137636184692385,12.641219425201417,75.44280952199331,2.5167751312255877,22353379621.0,0.7412658715620782,0.0,0.0,11.567471504211426,yes,down
2000-04-26,LMT,0,14.65649132407391,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-26,14.65649132407391,14.730514007528829,14.10132119816202,3442200.0,14.286377906799316,12.800368404388427,65.14661786085458,1.8505735397338867,22349937421.0,0.7623408083455272,0.0,0.0,12.628050804138184,yes,down
2000-04-27,LMT,0,14.212349297488547,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-27,14.212349297488547,14.471428581557348,13.842236034533116,1761100.0,14.13832664489746,12.937310218811035,63.52284909892207,1.776545524597168,22348176321.0,0.7528302182511489,0.0,0.0,13.546172142028809,yes,down
2000-04-28,LMT,0,14.212352043420228,hold,0.0,0.0,0.0,51339.42473743587,down,2000-04-28,14.212352043420228,15.433726047151652,14.212352043420228,3415700.0,14.730510711669922,13.055746698379517,67.0594969863334,1.295393943786621,22351592021.0,0.791585159965652,0.0,0.0,13.41511058807373,no,up
2000-05-01,LMT,0,14.360396809048124,hold,0.0,0.0,0.0,51339.42473743587,down,2000-05-01,14.360396809048124,16.17395207617018,14.286374145083958,2702000.0,15.988895416259766,13.250055932998658,73.04106495246543,0.6662082672119141,22354294021.0,0.8698703579028357,0.0,0.0,13.176794052124023,no,up
2000-05-02,LMT,0,15.544751668147905,hold,0.0,0.0,0.0,51339.42473743587,down,2000-05-02,15.544751668147905,15.803830862617035,15.39670641416554,2304900.0,15.433717727661133,13.416606283187866,67.23990102856492,0.2960815429687482,22351989121.0,0.8500359753450779,0.0,0.0,13.039323806762695,yes,down
2000-05-03,LMT,0,15.285681526351969,hold,0.0,0.0,0.0,51339.42473743587,down,2000-05-03,15.285681526351969,15.581772209671133,15.026602178447696,1438500.0,15.137636184692385,13.572054195404053,64.30652914522797,0.8512582778930682,22350550621.0,0.8289741221935322,0.0,0.0,13.197094917297363,yes,down
2000-05-04,LMT,0,15.137631203386391,hold,0.0,0.0,0.0,51339.42473743587,down,2000-05-04,15.137631203386391,16.06291428427798,15.10061988015073,1659000.0,15.581767082214355,13.73120288848877,66.65636404956716,1.4434404373168963,22352209621.0,0.8384969994745121,0.0,0.0,13.487977981567383,no,up
2000-05-05,LMT,0,15.24866176960292,hold,0.0,0.0,0.0,51339.42473743587,down,2000-05-05,15.24866176960292,15.50774097442627,15.17463913965339,1751900.0,15.50774097442627,13.879247760772705,65.87788517883608,0.7772302627563477,22350457721.0,0.8076849239806874,0.0,0.0,13.760211944580078,yes,down
2000-05-08,LMT,0,15.39670641416554,hold,0.0,0.0,0.0,51339.42473743587,down,2000-05-08,15.39670641416554,15.544751668147905,15.24866116018318,1038600.0,15.433717727661133,14.027292633056641,65.05963756593273,-0.5551776885986328,22349419121.0,0.7711424656938328,0.0,0.0,14.120851516723633,yes,down
