trans_date,ticker,qty,price,action,comm_fees,trans_amount,total_plus_comm_fees,acct_bal,pred_trend,date,Open,High,Low,Volume,Close,SMA20,RSI14,MOM5,OBV,ATR14,recom_type_ordinal,compound,pred_close,right_call?,real_trend
2000-03-29,MRK,0,0.0,hold,0.0,0.0,0.0,50000.0,up,2000-03-29,28.95756595209241,29.906522929668427,28.756272047758102,7047200.0,29.446422576904297,27.768502712249756,53.54845799101795,-0.20129776000976562,24024343738.0,1.2874746911885933,0.0,0.0,29.0118465423584,no,-
2000-03-30,MRK,0,29.44642149390244,hold,0.0,0.0,0.0,50000.0,down,2000-03-30,29.44642149390244,30.33786589459675,29.36015268093202,6303600.0,29.47517776489257,27.87921380996704,53.677370760594656,0.5463695526122905,24030647338.0,1.26534887136546,0.0,0.0,29.37591552734375,no,up
2000-03-31,MRK,0,29.360163656039017,hold,0.0,0.0,0.0,50000.0,down,2000-03-31,29.360163656039017,29.877776727350184,28.583744049072266,5662600.0,28.583744049072266,27.985611629486083,49.125783995054285,0.17254066467285512,24024984738.0,1.2673977147163498,0.0,0.0,29.064247131347656,yes,down
2000-04-03,MRK,420,28.69875948973809,buy,18.080218478535,12053.478985689999,-12071.559204168534,37928.44079583147,up,2000-04-03,28.69875948973809,30.82672362023972,28.69875948973809,7647200.0,30.71169853210449,28.22141275405884,58.23088600325185,2.58804893493652,24032631938.0,1.3370821330342857,0.0,0.0,30.147396087646484,yes,up
2000-04-04,MRK,0,0.0,hold,0.0,0.0,0.0,37928.44079583147,up,2000-04-04,31.430621646447857,32.09201624651035,30.021563585445165,12027800.0,31.14305877685547,28.537731647491455,59.80146497497623,2.8181171417236293,24044659738.0,1.38946574217935,0.0,0.0,30.74563217163086,yes,up
2000-04-05,MRK,420,31.25807407924108,sell,19.69258666992188,13128.391113281254,13108.698526611332,51037.1393224428,down,2000-04-05,31.25807407924108,31.516880580357142,30.797973632812504,6247600.0,31.40185546875,28.800851917266847,60.75490458756572,1.9554328918457031,24050907338.0,1.3415686854197275,0.0,0.0,31.03302001953125,no,up
2000-04-06,MRK,0,30.826738821198763,hold,0.0,0.0,0.0,51037.1393224428,down,2000-04-06,30.826738821198763,30.855495107412565,29.73399994507417,6228000.0,30.16534423828125,28.90293664932251,54.14676093311126,0.690166473388679,24044679338.0,1.364874888152306,0.0,0.0,30.48821258544922,yes,down
2000-04-07,MRK,0,0.0,hold,0.0,0.0,0.0,51037.1393224428,up,2000-04-07,30.07906695722624,30.682948798623705,29.90652928825553,3322400.0,30.136579513549805,29.039528846740723,53.999619266533294,1.552835464477539,24041356938.0,1.3228423611677251,0.0,0.0,30.633569717407227,no,down
2000-04-10,MRK,0,0.0,hold,0.0,0.0,0.0,51037.1393224428,up,2000-04-10,29.935279953951213,31.40184986523989,29.935279953951213,4710800.0,30.539161682128903,29.25520029067993,55.80958464686701,-0.17253684997558594,24046067738.0,1.333108614747793,0.0,0.0,30.542491912841797,yes,up
2000-04-11,MRK,0,0.0,hold,0.0,0.0,0.0,51037.1393224428,up,2000-04-11,30.5679282504536,31.286835311847145,30.539171967997856,5705900.0,30.970516204833984,29.50394229888916,57.728775540645586,-0.17254257202148438,24051773638.0,1.2912918301028251,0.0,0.0,30.80364418029785,yes,up
2000-04-12,MRK,0,31.08554804623701,hold,0.0,0.0,0.0,51037.1393224428,down,2000-04-12,31.08554804623701,31.17181691223027,29.849027633666992,5840100.0,29.849027633666992,29.620405673980713,51.469999204683745,-1.5528278350830078,24045933538.0,1.2935416478500004,0.0,0.0,30.168428421020508,yes,down
2000-04-13,MRK,0,0.0,hold,0.0,0.0,0.0,51037.1393224428,up,2000-04-13,30.079067226601914,30.826730465504067,29.964042112924663,4871700.0,30.28036117553711,29.639097023010255,53.55561067013694,0.11501693725585938,24050805238.0,1.2709817324205057,0.0,0.0,30.580249786376953,yes,up
2000-04-14,MRK,0,29.877770512973783,hold,0.0,0.0,0.0,51037.1393224428,down,2000-04-14,29.877770512973783,30.194089546316143,28.78503203415472,6155600.0,29.245132446289062,29.657788372039796,48.20145467985906,-0.8914470672607422,24044649638.0,1.2870065473463546,0.0,0.0,29.973970413208008,yes,down
2000-04-17,MRK,0,0.0,hold,0.0,0.0,0.0,51037.1393224428,up,2000-04-17,29.331401303251543,29.79150171585157,28.4687130296265,6261100.0,29.647720336914062,29.72249002456665,50.28306515653983,-0.8914413452148402,24050910738.0,1.28956241440912,0.0,0.0,29.96222686767578,yes,up
2000-04-18,MRK,0,0.0,hold,0.0,0.0,0.0,51037.1393224428,up,2000-04-18,29.56145606130924,30.5391695886288,29.44643094044811,4600700.0,30.48165702819824,29.775689029693602,54.37338448494559,-0.48885917663574574,24055511438.0,1.275503573964232,0.0,0.0,30.285470962524414,yes,up
2000-04-19,MRK,0,0.0,hold,0.0,0.0,0.0,51037.1393224428,up,2000-04-19,30.366627900496773,32.09200448575227,30.1653339655503,8176700.0,31.74692916870117,29.880649471282958,59.78005482058689,1.8979015350341761,24063688138.0,1.322015498695499,0.0,0.0,31.26177406311035,yes,up
2000-04-20,MRK,0,31.746935116347448,hold,0.0,0.0,0.0,51037.1393224428,down,2000-04-20,31.746935116347448,32.32206075251317,31.718178834539163,6542000.0,32.092010498046875,30.03880958557129,61.132803296711025,1.8116493225097656,24070230138.0,1.2707202429296778,0.0,0.0,31.678443908691406,no,up
