MSSubClass,MSZoning,Neighborhood,HouseStyle,Exterior1st,Exterior2nd,MasVnrType,GarageType,Foundation,LotShape,OverallQual,OverallCond,ExterQual,BsmtQual,BsmtFinType1,HeatingQC,KitchenQual,FireplaceQu,GarageFinish,GarageCars,GrLivArea,GarageArea,1stFlrSF,YearBuilt,YearRemod/Add,FullBath,TotRmsAbvGrd,SalePrice
60,RL,Sawyer,2Story,HdBoard,Plywood,BrkFace,Attchd,CBlock,3,6,8,4,4,7,5,4,1,3,2.0,1479.0,475.0,725.0,1976,2005,2,6,130500
60,RL,SawyerW,2Story,VinylSd,VinylSd,BrkFace,Attchd,PConc,3,7,5,4,5,7,5,4,4,3,2.0,2122.0,559.0,913.0,1996,1997,2,8,220000
20,RL,NAmes,1Story,VinylSd,VinylSd,None,Detchd,CBlock,4,5,7,3,4,7,3,4,1,2,1.0,1057.0,246.0,1057.0,1953,2007,1,5,109000
60,RL,Timber,2Story,VinylSd,VinylSd,None,BuiltIn,PConc,4,5,5,3,5,2,4,3,1,4,2.0,1444.0,400.0,744.0,2006,2007,2,7,174000
50,RL,SawyerW,1.5Fin,Wd Sdng,Plywood,None,Detchd,PConc,3,6,8,3,3,2,3,3,1,2,2.0,1445.0,484.0,831.0,1900,1993,2,6,138500
20,RL,NAmes,1Story,BrkFace,Plywood,None,Attchd,CBlock,3,6,6,4,4,6,5,4,5,4,2.0,1888.0,578.0,1888.0,1966,2002,2,6,190000
180,RM,Edwards,SFoyer,VinylSd,VinylSd,BrkFace,Basment,PConc,4,6,5,3,5,7,4,3,1,4,2.0,1072.0,525.0,1072.0,2005,2006,2,5,140000
20,RL,NAmes,1Story,Plywood,Plywood,BrkFace,Attchd,CBlock,3,5,5,3,4,4,2,3,1,3,2.0,1188.0,531.0,1188.0,1959,1959,1,6,142000
20,RL,OldTown,1Story,Wd Sdng,Wd Sdng,None,Detchd,CBlock,4,5,5,3,4,4,3,3,1,2,1.0,924.0,420.0,924.0,1952,1952,1,6,112500
60,RL,NAmes,2Story,Plywood,Plywood,BrkFace,Attchd,PConc,3,5,5,3,5,4,3,2,4,2,2.0,2080.0,504.0,1040.0,1969,1969,1,9,135000
160,RM,BrDale,2Story,HdBoard,HdBoard,BrkFace,Detchd,CBlock,4,6,5,3,4,6,3,3,1,2,1.0,987.0,264.0,483.0,1971,1971,1,4,85400
20,RL,CollgCr,1Story,VinylSd,VinylSd,None,Attchd,PConc,3,7,5,4,5,7,5,4,1,3,2.0,1208.0,632.0,1208.0,2005,2005,2,6,183600
70,RL,SawyerW,2Story,HdBoard,HdBoard,None,Attchd,PConc,4,5,7,4,1,1,5,3,4,2,2.0,2016.0,576.0,1288.0,1880,2007,1,7,131000
160,FV,Somerst,2Story,MetalSd,MetalSd,BrkFace,Detchd,PConc,4,8,5,4,5,7,5,4,1,2,2.0,1607.0,480.0,962.0,1999,2000,2,7,200000
20,RL,CollgCr,1Story,VinylSd,VinylSd,None,Attchd,PConc,4,7,5,4,5,7,5,4,1,3,2.0,1361.0,610.0,1361.0,2007,2007,2,6,193000
20,RL,Mitchel,1Story,VinylSd,VinylSd,None,Attchd,PConc,4,5,5,3,6,2,5,4,1,3,2.0,1430.0,624.0,1430.0,2004,2005,2,7,173500
70,RM,OldTown,2Story,AsbShng,AsbShng,None,Detchd,BrkTil,4,5,5,3,4,2,2,3,1,2,3.0,1344.0,513.0,624.0,1916,1950,1,7,98000
20,RL,Sawyer,1Story,VinylSd,VinylSd,None,Detchd,PConc,4,5,6,3,4,4,3,3,1,2,2.0,1121.0,480.0,1121.0,1963,1963,1,5,139000
20,RL,Sawyer,1Story,Plywood,Plywood,BrkFace,Attchd,CBlock,4,6,5,3,4,2,5,3,4,3,2.0,1285.0,528.0,1285.0,1977,1977,1,7,143500
60,FV,Somerst,2Story,VinylSd,VinylSd,None,Attchd,PConc,4,7,5,3,5,7,5,4,1,2,2.0,1547.0,614.0,764.0,2009,2009,2,7,215200
20,RL,Sawyer,1Story,VinylSd,VinylSd,None,Attchd,CBlock,4,5,5,3,5,5,4,3,2,4,2.0,894.0,450.0,894.0,1968,1968,1,5,129000
120,RL,StoneBr,1Story,CemntBd,CmentBd,None,Attchd,PConc,3,8,5,4,5,7,5,5,6,4,2.0,1659.0,499.0,1659.0,2000,2000,2,5,278000
60,RL,NridgHt,2Story,CemntBd,CmentBd,None,Attchd,PConc,3,8,5,4,6,2,5,5,5,4,2.0,2253.0,575.0,1209.0,2005,2006,2,8,344133
20,RL,Gilbert,1Story,HdBoard,HdBoard,None,Attchd,PConc,3,6,7,3,5,6,5,3,1,4,2.0,1187.0,420.0,1187.0,1992,2007,2,6,185000
190,RL,Gilbert,1Story,Wd Sdng,Wd Sdng,None,Attchd,CBlock,4,5,5,3,4,4,3,3,1,4,2.0,1056.0,572.0,1056.0,1955,1955,1,5,145000
20,RL,NAmes,1Story,MetalSd,MetalSd,BrkFace,Attchd,CBlock,3,6,6,3,4,4,5,3,4,3,2.0,1453.0,530.0,1453.0,1961,1961,2,6,187500
20,RL,Sawyer,1Story,MetalSd,MetalSd,None,Detchd,CBlock,4,5,8,3,4,7,5,3,5,2,1.0,894.0,336.0,894.0,1965,2009,1,5,138500
50,RL,Crawfor,1.5Fin,WdShing,Wd Shng,None,Detchd,CBlock,3,5,6,3,4,5,5,4,5,2,1.0,1938.0,240.0,1265.0,1937,1995,2,7,198000
190,C (all),IDOTRR,2Story,VinylSd,VinylSd,None,None,CBlock,4,5,6,3,4,2,2,3,1,1,0.0,1991.0,465.10199881023215,1034.0,1895,2006,2,9,119600
50,RL,NAmes,1.5Fin,MetalSd,MetalSd,None,Detchd,CBlock,4,5,7,3,4,2,5,3,2,2,2.0,924.0,576.0,672.0,1949,2006,1,6,122900
20,RL,NWAmes,1Story,BrkFace,BrkFace,None,Attchd,PConc,4,8,5,4,5,6,3,4,5,4,2.0,2524.0,542.0,1164.2931707317073,1981,1981,2,9,278000
70,RL,Crawfor,2Story,BrkFace,Stucco,None,Detchd,PConc,3,8,7,3,5,2,2,4,5,2,2.0,1517.0,400.0,792.0,1929,1950,1,7,230000
120,RL,Veenker,1Story,BrkFace,BrkFace,None,Attchd,PConc,3,8,5,4,5,3,5,5,5,4,2.0,1494.0,481.0,1494.0,1995,1996,1,6,270000
20,RL,NAmes,1Story,Wd Sdng,Wd Sdng,None,Detchd,CBlock,4,6,6,3,4,6,3,3,1,2,2.0,948.0,410.0,948.0,1952,1952,1,5,125000
20,RL,CollgCr,1Story,VinylSd,VinylSd,Stone,Attchd,PConc,4,8,5,4,6,7,5,4,5,3,3.0,1718.0,826.0,1718.0,2007,2008,2,7,297000
20,RL,NAmes,1Story,Wd Sdng,Wd Sdng,BrkFace,Basment,CBlock,3,6,6,3,5,2,2,3,5,3,1.0,1142.0,384.0,1142.0,1958,1958,1,5,113500
