OverallQual,ExterQual,KitchenQual,GarageCars,GrLivArea,BsmtQual,GarageArea,1stFlrSF,fe_Age,GarageFinish,FireplaceQu,FullBath,Foundation_PConc,TotRmsAbvGrd,HeatingQC,Neighborhood_NridgHt,MasVnrType_None,GarageType_Detchd,GarageType_Attchd,MSSubClass_60,Foundation_CBlock,BsmtFinType1,Exterior1st_VinylSd,Exterior2nd_VinylSd,MasVnrType_Stone,LotShape,MSZoning_RM,Neighborhood_NoRidge,MasVnrType_BrkFace,Neighborhood_StoneBr,SalePrice
6,4,4,2.0,1479.0,4,475.0,725.0,44,3,1,2,0,6,5,0,0,0,1,1,1,7,0,0,0,3,0,0,1,0,130500
7,4,4,2.0,2122.0,5,559.0,913.0,24,3,4,2,1,8,5,0,0,0,1,1,0,7,1,1,0,3,0,0,1,0,220000
5,3,4,1.0,1057.0,4,246.0,1057.0,67,2,1,1,0,5,3,0,1,1,0,0,1,7,1,1,0,4,0,0,0,0,109000
5,3,3,2.0,1444.0,5,400.0,744.0,14,4,1,2,1,7,4,0,1,0,0,1,0,2,1,1,0,4,0,0,0,0,174000
6,3,3,2.0,1445.0,3,484.0,831.0,120,2,1,2,1,6,3,0,1,1,0,0,0,2,0,0,0,3,0,0,0,0,138500
6,4,4,2.0,1888.0,4,578.0,1888.0,54,4,5,2,0,6,5,0,1,0,1,0,1,6,0,0,0,3,0,0,0,0,190000
6,3,3,2.0,1072.0,5,525.0,1072.0,15,4,1,2,1,5,4,0,0,0,0,0,0,7,1,1,0,4,1,0,1,0,140000
5,3,3,2.0,1188.0,4,531.0,1188.0,61,3,1,1,0,6,2,0,0,0,1,0,1,4,0,0,0,3,0,0,1,0,142000
5,3,3,1.0,924.0,4,420.0,924.0,68,2,1,1,0,6,3,0,1,1,0,0,1,4,0,0,0,4,0,0,0,0,112500
5,3,2,2.0,2080.0,5,504.0,1040.0,51,2,4,1,1,9,3,0,0,0,1,1,0,4,0,0,0,3,0,0,1,0,135000
6,3,3,1.0,987.0,4,264.0,483.0,49,2,1,1,0,4,3,0,0,1,0,0,1,6,0,0,0,4,1,0,1,0,85400
7,4,4,2.0,1208.0,5,632.0,1208.0,15,3,1,2,1,6,5,0,1,0,1,0,0,7,1,1,0,3,0,0,0,0,183600
5,4,3,2.0,2016.0,1,576.0,1288.0,140,2,4,1,1,7,5,0,1,0,1,0,0,1,0,0,0,4,0,0,0,0,131000
8,4,4,2.0,1607.0,5,480.0,962.0,21,2,1,2,1,7,5,0,0,1,0,0,0,7,0,0,0,4,0,0,1,0,200000
7,4,4,2.0,1361.0,5,610.0,1361.0,13,3,1,2,1,6,5,0,1,0,1,0,0,7,1,1,0,4,0,0,0,0,193000
5,3,4,2.0,1430.0,6,624.0,1430.0,16,3,1,2,1,7,5,0,1,0,1,0,0,2,1,1,0,4,0,0,0,0,173500
5,3,3,3.0,1344.0,4,513.0,624.0,104,2,1,1,0,7,2,0,1,1,0,0,0,2,0,0,0,4,1,0,0,0,98000
5,3,3,2.0,1121.0,4,480.0,1121.0,57,2,1,1,1,5,3,0,1,1,0,0,0,4,1,1,0,4,0,0,0,0,139000
6,3,3,2.0,1285.0,4,528.0,1285.0,43,3,4,1,0,7,5,0,0,0,1,0,1,2,0,0,0,4,0,0,1,0,143500
7,3,4,2.0,1547.0,5,614.0,764.0,11,2,1,2,1,7,5,0,1,0,1,1,0,7,1,1,0,4,0,0,0,0,215200
5,3,3,2.0,894.0,5,450.0,894.0,52,4,2,1,0,5,4,0,1,0,1,0,1,5,1,1,0,4,0,0,0,0,129000
8,4,5,2.0,1659.0,5,499.0,1659.0,20,4,6,2,1,5,5,0,1,0,1,0,0,7,0,0,0,3,0,0,0,1,278000
8,4,5,2.0,2253.0,6,575.0,1209.0,15,4,5,2,1,8,5,1,1,0,1,1,0,2,0,0,0,3,0,0,0,0,344133
6,3,3,2.0,1187.0,5,420.0,1187.0,28,4,1,2,1,6,5,0,1,0,1,0,0,6,0,0,0,3,0,0,0,0,185000
5,3,3,2.0,1056.0,4,572.0,1056.0,65,4,1,1,0,5,3,0,1,0,1,0,1,4,0,0,0,4,0,0,0,0,145000
6,3,3,2.0,1453.0,4,530.0,1453.0,59,3,4,2,0,6,5,0,0,0,1,0,1,4,0,0,0,3,0,0,1,0,187500
5,3,3,1.0,894.0,4,336.0,894.0,55,2,5,1,0,5,5,0,1,1,0,0,1,7,0,0,0,4,0,0,0,0,138500
5,3,4,1.0,1938.0,4,240.0,1265.0,83,2,5,2,0,7,5,0,1,1,0,0,1,5,0,0,0,3,0,0,0,0,198000
5,3,3,0.0,1991.0,4,465.10199881023215,1034.0,125,1,1,2,0,9,2,0,1,0,0,0,1,2,1,1,0,4,0,0,0,0,119600
5,3,3,2.0,924.0,4,576.0,672.0,71,2,2,1,0,6,5,0,1,1,0,0,1,2,0,0,0,4,0,0,0,0,122900
8,4,4,2.0,2524.0,5,542.0,1164.2931707317073,39,4,5,2,1,9,3,0,1,0,1,0,0,6,0,0,0,4,0,0,0,0,278000
8,3,4,2.0,1517.0,5,400.0,792.0,91,2,5,1,1,7,2,0,1,1,0,0,0,2,0,0,0,3,0,0,0,0,230000
8,4,5,2.0,1494.0,5,481.0,1494.0,25,4,5,1,1,6,5,0,1,0,1,0,0,3,0,0,0,3,0,0,0,0,270000
6,3,3,2.0,948.0,4,410.0,948.0,68,2,1,1,0,5,3,0,1,1,0,0,1,6,0,0,0,4,0,0,0,0,125000
8,4,4,3.0,1718.0,6,826.0,1718.0,13,3,5,2,1,7,5,0,0,0,1,0,0,7,1,1,1,4,0,0,0,0,297000
